channel_id,channel_title,channel_published_at,country,channel_topicIds
UC_F3i4sHKon8CwRxvU-SNhA,KING VADER,2014-04-20T06:09:08.000Z,US,/m/04rlf|/m/02jjt|/m/02jjt|/m/04rlf|/m/02vxn
UCc_9XzGh7Cj8184_MUDYakg,TheLolHounds 2.0,2018-07-10T17:29:40.000Z,AU,/m/025zzc|/m/0bzvm2|/m/0403l3g|/m/0bzvm2|/m/025zzc|/m/0403l3g
UCklgz1ndyL0VA9c-r5lfO6Q,Widhan ID,2018-09-29T20:10:46.000Z,ID,/m/0bzvm2|/m/0403l3g|/m/03hf_rm|/m/0bzvm2|/m/019_rr|/m/07c1v|/m/03hf_rm|/m/0403l3g|/m/025zzc
UC1_wl_GJrNmTX_pUdpTWjEA,Sheet Music,2016-03-17T14:13:45.000Z,US,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9
UCtc5V_daZuj5n98iSUL7C5w,Secrets,2017-10-17T15:56:31.000Z,,/m/04rlf|/m/064t9|/m/0g293|/m/04rlf|/m/0g293|/m/064t9|/m/0bzvm2
UC89nTkfPvWtN6hUcPgXUKRw,Julia Sofia,2013-08-10T16:18:06.000Z,,/m/019_rr|/m/04rlf|/m/019_rr|/m/04rlf|/m/02wbm
UC1TAp7wegA0AoGJ5kJmHbPw,New Found Glory,2006-05-05T12:46:28.000Z,US,/m/04rlf|/m/06by7|/m/04rlf|/m/06by7
UCzkPX3KCIVquUPa8oXjHn0g,FFM Clips,2017-07-12T12:40:04.000Z,US,/m/0bzvm2|/m/04rlf|/m/0bzvm2|/m/04rlf|/m/025zzc|/m/0403l3g
UCoWaZmwJZ0SUuCGuJ18p39w,Nintendo Fãs Brasil,2016-04-18T16:16:16.000Z,BR,/m/0bzvm2|/m/0403l3g|/m/025zzc|/m/0bzvm2|/m/025zzc|/m/0403l3g|/m/019_rr|/m/07c1v
UCwOfDRAqEHugkIEJrsmXNqA,HypeTrain,2017-11-10T12:41:58.000Z,GB,/m/0bzvm2|/m/025zzc|/m/02jjt|/m/02vxn|/m/0bzvm2|/m/02jjt|/m/025zzc|/m/02vxn|/m/0403l3g
UCsKkBpnGKVwhSZGAGT2ubtw,Atul krishan,2018-06-18T18:29:31.000Z,IN,/m/04rlf|/m/028sqc|/m/064t9|/m/04rlf|/m/064t9|/m/028sqc
UCXAud-j4ZLlB8RI6om9B8Aw,凶手 //Mūnraitokirā\\ MoonlightKiller,2018-04-09T05:27:24.000Z,,/m/04rlf|/m/04rlf
UCI008zmtg75Zny_mI7H9uWQ,blair walnuts,2017-09-15T20:06:25.000Z,US,/m/019_rr|/m/02wbm|/m/04rlf|/m/019_rr|/m/02wbm|/m/04rlf
UCfrGPc9p0Rx_pecgN0zWWng,Royale Movie Trailers,2012-03-02T12:31:40.000Z,US,/m/02jjt|/m/02vxn|/m/0f2f9|/m/02jjt|/m/02vxn|/m/0f2f9
UCilZoNnOpQ3q2mi5bNM2naQ,O Quadrinheiro Véio,2014-07-25T21:12:14.000Z,BR,/m/02jjt|/m/02vxn|/m/02jjt|/m/02vxn|/m/0bzvm2
UCuNVQeVXwfwxVUKdrCQgk3A,Andrew Foy 앤디,2011-10-07T00:46:44.000Z,US,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9|/m/0glt670
UCxEZGbBjiaXFf20xCCuOxVw,EstelleFitz,2013-07-19T15:18:10.000Z,FR,/m/019_rr|/m/04rlf|/m/019_rr|/m/04rlf|/m/032tl
UCSvMQKQ_N0ZIOkePtFcmx0g,GrandeFanbase AG4,2017-12-29T16:32:12.000Z,,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9
UC4-9aBds81JKhu8bMBIxhLg,Trendz Trendz,2018-07-15T07:05:39.000Z,GH,/m/04rlf|/m/04rlf
UCRvbugLhdM_59FGE3pgMPUA,InFires Crew,2016-07-16T17:44:19.000Z,DE,/m/04rlf|/m/028sqc|/m/04rlf|/m/028sqc|/m/02jjt|/m/05qjc|/m/019_rr|/m/03glg
UCM4vH2FmEDU9gXgBwjAk87Q,CristianCruz,2014-03-17T17:14:25.000Z,US,/m/04rlf|/m/02jjt|/m/019_rr|/m/04rlf|/m/02jjt|/m/019_rr
UCSMxrb4Us56HRIM01v9AiNw,Chi,2011-07-13T14:12:45.000Z,TW,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9|/m/06by7
UCVIdVAnQ4cRlGNlil-q_bsg,Anna-Lena Hildebrand,2016-09-14T11:44:07.000Z,,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9|/m/02lkt|/m/05rwpb
UCdL3adVtPzAwc1P4y7R3FkQ,SUPERHERO ACADEMY,2012-08-10T10:07:25.000Z,IN,/m/02jjt|/m/02vxn|/m/04rlf|/m/02jjt|/m/02vxn|/m/04rlf
UCDcegmS6fxGMQWhKpZV4Raw,Reggae Music Online,2017-03-05T13:22:07.000Z,US,/m/04rlf|/m/06cqb|/m/04rlf|/m/06cqb
UCinGCtfmkbSTCH7C8BF6HZA,Alteori,2016-11-27T20:35:24.000Z,,/m/02jjt|/m/02vxn|/m/04rlf|/m/02jjt|/m/02vxn|/m/04rlf
UCi87kxosIT3wrnEA-mv4jWA,FaZe Adapt,2011-12-14T04:23:45.000Z,,/m/0bzvm2|/m/025zzc|/m/0403l3g|/m/0bzvm2|/m/025zzc|/m/0403l3g|/m/02jjt|/m/04rlf
UC8ZhcuRkq5kNQz950-qw6ww,Mongolian RadioActive Gamers,2014-08-02T13:33:18.000Z,MN,/m/0bzvm2|/m/025zzc|/m/0403l3g|/m/0bzvm2|/m/025zzc|/m/0403l3g
UCCaVTUQG-7nKriv_uvEgmaA,OE Fitness,2016-08-27T17:02:06.000Z,US,/m/027x7n|/m/019_rr|/m/019_rr|/m/027x7n
UCPHQ73FXSTqW_kVTosgscmg,New Son 974,2012-06-23T14:53:18.000Z,RE,/m/04rlf|/m/0glt670|/m/04rlf|/m/0glt670|/m/02lkt
UC1eZ0zsNSxvdA0MDLBwYzHA,•kotik ksun•,2018-09-09T16:26:38.000Z,,/m/04rlf|/m/02vxn|/m/02jjt|/m/04rlf|/m/02jjt|/m/02vxn
UCuomYjGAwq9e7nrAWZp-j5g,Yanina Chiesa,2012-10-13T20:24:58.000Z,AR,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9
UCS_Siuy30sVQ2WjmBHnunQg,AyJayVids™,2015-02-09T18:09:43.000Z,DK,/m/02vx4|/m/06ntj|/m/06ntj|/m/02vx4
